TableName
3
X
Y
value
                  28                     0                     0  
                  31                     1                     0  
                  42                     5                     0  
                  41                     8                     0  
                  39                    11                     1  
                  43                    11                     1  
                  74                    12                     0  
                  71                    13                     0  
                  85                    15                     0  
                  53                    17                     0  
                  36                    19                     0  
                  80                    20                     1  
                  55                    21                     0  
                  80                    23                     1  
                  73                    25                     0  
                  51                    26                     1  
                  57                    26                     1  
                   1                    28                     0  
                  35                    33                     0  
                  11                    34                     0  
                   2                    40                     0  
                  45                    43                     0  
                  47                    43                     0  
                   4                    44                     0  
                  83                    46                     0  
                  17                    49                     0  
                  18                    49                     0  
                  47                    51                     0  
                  90                    51                     1  
                  58                    52                     0  
                  87                    53                     0  
                  12                    55                     0  
                  63                    58                     0  
                  54                    59                     0  
                  84                    59                     1  
                  30                    61                     0  
                  54                    61                     0  
                  25                    62                     0  
                  47                    66                     1  
                  74                    69                     0  
                  41                    71                     0  
                  66                    73                     1  
                  48                    86                     0  
                  35                    88                     1  
                  81                    89                     0  
                  27                    92                     1  
                  60                    97                     0  
                  40                    98                     0  
                  43                    98                     0  
                   5                    99                     0  
